last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Wade, Tyler,642180,Angels,,2B,-2,-3,1,-1,-2,-1,-4,1,78%,80%,-2%
Walker, Christian,572233,D-backs,,1B,11,14,2,12,2,-2,3,11,77%,73%,4%
Walls, Taylor,670764,Rays,,SS,-8,-11,-8,-2,-1,1,-9,-3,81%,83%,-2%
Walsh, Jared,665120,Angels,,1B,0,0,0,-2,1,0,-1,0,72%,72%,0%
Ward, Taylor,621493,Angels,,RF,1,1,1,0,-1,2,1,0,89%,88%,1%
Wendle, Joey,621563,Marlins,,2B,2,3,-1,2,2,0,4,-1,78%,77%,1%
Winker, Jesse,608385,Mariners,,LF,-9,-10,-2,-3,-4,-1,-6,-4,81%,86%,-5%
Wisdom, Patrick,621550,Cubs,,3B,-12,-15,-4,-5,-5,-2,-9,-6,67%,71%,-4%
Witt Jr., Bobby,677951,Royals,,SS,-8,-11,0,-6,-5,-1,-10,-1,69%,71%,-2%
Wong, Kolten,543939,Brewers,,2B,-7,-10,-7,-3,0,1,-4,-6,76%,79%,-3%
Yastrzemski, Mike,573262,Giants,,RF,2,2,1,2,0,-2,4,-2,87%,86%,1%
Yelich, Christian,592885,Brewers,,LF,-4,-5,0,-3,-2,0,-2,-3,86%,89%,-3%
